Ausgabe;Datum;Originaltitel;Neuauflage­datum;Neuauflagetitel
LTB 147;19.06.1990;Gold unter Wasser;2000;Das geheimnisvolle Geisterhaus
LTB 148;24.07.1990;Der magische Ring;2000;Der magische Ring
LTB 149;21.08.1990;Der goldene Krieger;2000;Phantomias und das Indianerland
LTB 150;18.09.1990;Jubilaeums-Ausgabe;2000;Jubiläums-Ausgabe
LTB 151;23.10.1990;Der Dimensions-Sprung;2004;Der Dimensions-Sprung
LTB 152;20.11.1990;Der Ungluecksbringer;2004;Der Unglücksbringer
LTB 153;18.12.1990;Der Schatz der Teufelszinne;2004;Der Schatz der Teufelszinne
LTB 154;22.01.1991;Phantomias und die Duennli-Diaet;2004;Phantomias und die Dünnli-Diät
LTB 155;19.02.1991;Abenteuer im Regenwald;2004;Abenteuer im Regenwald
LTB 156;19.03.1991;Antike Geschaefte;2004;Antike Geschäfte
LTB 157;23.04.1991;Phantomias jagt Spectaculus;2004;Phantomias jagt Spectaculus
LTB 158;21.05.1991;Der indische Tempel;2004;Der indische Tempel
LTB 159;18.06.1991;Das Geheimnis von Paris;2004;Das Geheimnis von Paris
LTB 160;23.07.1991;Der wahre Pioniergeist;2004;Der wahre Pioniergeist
LTB 161;20.08.1991;Der Hexentaler;2005;Der Hexentaler
LTB 162;17.09.1991;Der goldene Totempfahl;2005;Der goldene Totempfahl
LTB 163;22.10.1991;Das Schloss der Glenna O'Duck;2005;Das Schloß der Glenna O'Duck
LTB 164;19.11.1991;Der Schmutzgeier schlaegt zu;2005;Der Schmutzgeier schlägt zu
LTB 165;17.12.1991;Der dreizaehnige Drache;2005;Der dreizähnige Drache
LTB 166;14.01.1992;Auf Koenig Midas Spuren;2005;Auf König Midas Spuren
LTB 167;11.02.1992;Die sieben Weltwunder;2005/2016;Die sieben Weltwunder
LTB 168;10.03.1992;Kampf der Galaxien;2005;Kampf der Galaxien
LTB 169;04.04.1992;Die schwimmende Insel;2005;Die schwimmende Insel
LTB 170;12.05.1992;Eine Braut zuviel;2005;Eine Braut zuviel
LTB 171;09.06.1992;Der Schmutzgeier ist wieder da;2005/2017;Der Schmutzgeier ist wieder da
LTB 172;23.06.1992;25 tolle Jahre;2005;25 tolle Jahre
LTB 173;14.07.1992;Grrr!;2005/2019;Grrr!
LTB 174;11.08.1992;Olympia in Entenhausen;2005;Olympia in Entenhausen
LTB 175;08.09.1992;Jubilaeums-Ausgabe;2005;Jubiläums-Ausgabe
LTB 176;13.10.1992;Das Tal der sieben Sonnen;2005;Das Tal der sieben Sonnen
LTB 177;10.11.1992;Die Jagd auf Karte Nr. 1;2005;Die Jagd auf Karte Nr. 1
LTB 178;09.12.1992;Der verhinderte Entdecker;2005;Der verhinderte Entdecker
LTB 179;12.01.1993;Die neue Statue;2005;Die neue Statue
LTB 180;09.02.1993;Die raetselhaften Zwillingsvoelker;2005;Die rätselhaften Zwillingsvölker
LTB 181;09.03.1993;Der Traum vom grossen Onkel;2006;Der Traum vom großen Onkel
LTB 182;13.04.1993;Die Suche nach dem Feuer;2006;Die Suche nach dem Feuer
LTB 183;11.05.1993;Die Zauberglocke;2006;Die Zauberglocke
LTB 184;08.06.1993;Eine fantastische Reise;2006;Eine fantastische Reise
LTB 185;13.07.1993;Das Wunderpferd;2006;Das Wunderpferd
LTB 186;10.08.1993;Graf Frost und das Zepter der Zeit;2006;Graf Frost und dad Zepter der Zeit
LTB 187;14.09.1993;Der Held der Pharaonen;2006/2016;Der Held der Pharaonen
LTB 188;12.10.1993;Die Perle der Suedsee;2006;Die Perle der Südsee
LTB 189;09.11.1993;Abenteuer in Absurdistan;2006;Abenteuer in Absurdistan
LTB 190;14.12.1993;Prallball im Weltall;2006;Prallball im Weltall
LTB 191;11.01.1994;Phantomias auf Abwegen?;2006;Phantomias auf Abwegen?
LTB 192;08.02.1994;Der Wuestenwurm;2006;Der Wüstenwurm
LTB 193;08.03.1994;Der gelbe Baron und sein Elastilon;2006;Der gelbe Baron und sein Elastilon
LTB 194;12.04.1994;Das Elixier der ewigen Jugend;2006;Das Elixier der ewigen Jugend
LTB 195;03.05.1994;Der Wildbach-Marathon;2006;Der Wildbach-Marathon
LTB 196;17.05.1994;60 Jahre Superstar;2006;60 Jahre Superstar
LTB 197;07.06.1994;Drachengold;2006;Drachengold
LTB 198;12.07.1994;Das gruene Gewissen;2006;Das grüne Gewissen
LTB 199;09.08.1994;Abenteuer in Pyramontanien;2006;Abenteuer in Pyramontanien
LTB 200;13.09.1994;Jubilaeums-Ausgabe;2006;Jubiläums-Ausgabe
LTB 201;11.10.1994;Das Hexenlicht;2007;Das Hexenlicht
LTB 202;08.11.1994;Ein wahrer Held;2007;Ein wahrer Held
LTB 203;13.12.1994;Der Ritter ohne Furcht und Adel;2007;Der Ritter ohne Furcht und Adel
LTB 204;10.01.1995;Der Palast des Dagomesch;2007;Der Palast des Dagomesch
LTB 205;07.02.1995;Die Adelspruefung;2007;Die Adelsprüfung
LTB 206;07.03.1995;Im Indianerland;2007;Im Indianerland
LTB 207;04.04.1995;Der Pruegelknabe;2007;Der Prügelknabe
LTB 208;02.05.1995;Die Waechter der Zeit;2007;Die Wächter der Zeit
LTB 209;06.06.1995;Der gewaltige Zing Zong;2007;Der gewaltige Zing Zong
LTB 210;04.07.1995;Eine tolle Entdeckung;2007;Eine tolle Entdeckung
LTB 211;01.08.1995;Der Gluecksstern;2008;Der Glücksstern
LTB 212;05.09.1995;Wo ist Onkel Dagobert?;2008;Wo ist Onkel Dagobert?
LTB 213;03.10.1995;Die verlorene Welt;2008;Die verlorene Welt
LTB 214;07.11.1995;Der Dieb von Bagdad;2008;Der Dieb von Bagdad
LTB 215;05.12.1995;Donleon der Schreckliche;2008;Donleon der Schreckliche
LTB 216;09.01.1996;Der doppelte Dagobert;2008;Der doppelte Dagobert
LTB 217;06.02.1996;Die Formel des Reichtums;2008;Die Formel des Reichtums
LTB 218;05.03.1996;Die Glueckstaler-Allergie;2008;Die Glückstaler-Allergie
LTB 219;02.04.1996;Der Zauber-Zylinder;2008;Der Zauber-Zylinder
LTB 220;30.04.1996;Das Geheimnis des 313;2008;Das Geheimnis des 313
LTB 221;28.05.1996;Das Buch der Wuensche;2008;Das Buch der Wünsche
LTB 222;25.06.1996;Der erste Held von Olympia;2008;Der erste Held von Olympia
LTB 223;23.07.1996;Die Zeitwanne;2008;Die Zeitwanne
LTB 224;20.08.1996;Schwebende Schurken;2008;Schwebende Schurken
LTB 225;17.09.1996;Jubilaeums-Ausgabe;2008;Jubiläums-Ausgabe
LTB 226;15.10.1996;Der Geist aus der Kanne;2008;Der Geist aus der Kanne
LTB 227;12.11.1996;Scherben bringen Glueck;2008;Scherben bringen Glück
LTB 228;10.12.1996;Der Goldene Preis;2008;Der Goldene Preis
LTB 229;07.01.1997;Der Gangsterschatz;2008;Der Gangsterschatz
LTB 230;21.01.1997;30 Jahre Lustiges Taschenbuch;2008;30 Jahre Lustiges Taschenbuch
LTB 231;04.02.1997;Phantomias und die Zauberer;2008;Phantomias und die Zauberer
LTB 232;04.03.1997;Das Stimm-Wunder;2008;Das Stimm-Wunder
LTB 233;01.04.1997;Zeit ist Geld!;2008;Zeit ist Geld!
LTB 234;06.05.1997;Die Jagd nach dem Sumpfmonster;2008;Die Jagd nach dem Sumpfmonster
LTB 235;03.06.1997;Der Schulbusfahrer;2008;Der Schulbusfahrer
LTB 236;01.07.1997;50 Jahre Onkel Dagobert;2008;50 Jahre Onkel Dagobert
LTB 237;05.08.1997;Im Land der Saurier;2008/2016;Im Land der Saurier
LTB 238;02.09.1997;Phantomias enttarnt?;2008/2016;Phantomias enttarnt?
LTB 239;07.10.1997;60 turbulente Jahre mit Tick, Trick und Track;2008;60 turbulente Jahre mit Tick, Trick und Track
LTB 240;04.11.1997;Die glorreiche Gaense-Garde;2008;Die glorreiche Gänse-Garde
LTB 241;02.12.1997;Achtung, Aufnahme!;2011;Achtung, Aufnahme!
LTB 242;06.01.1998;Wettlauf der Erben;;
LTB 243;03.02.1998;Heisse Tage in Afrika;;
LTB 244;03.03.1998;Der Schatz der Geisterberge;;
LTB 245;31.03.1998;Der Regenmacher;;
LTB 246;28.04.1998;Falsches Spiel mit Phantomias;;
LTB 247;26.05.1998;Donaldo der Ballzauberer;;
LTB 248;23.06.1998;Gefangen im Fuerchteforst;;
LTB 249;21.07.1998;Der verrueckte Professor;;
LTB 250;18.08.1998;Jubilaeumsausgabe;;
LTB 251;15.09.1998;Schatzsuche im Eis;;
LTB 252;01.10.1998;Happy Birthday, Micky!;;
LTB 253;10.11.1998;Das grosse Wagenrennen;;
LTB 254;08.12.1998;Geschaefte in Transsylvanien;;
LTB 255;05.01.1999;Donald in Aktion;;
LTB 256;02.02.1999;Die Vulkaninsel;;
LTB 257;02.03.1999;Der Zauberer von Hokapoka;;
LTB 258;30.03.1999;Der Waldgeist;;
LTB 259;27.04.1999;Die grosse Flut;;
LTB 260;25.05.1999;Der Alptraum-Abwasch;;
LTB 261;22.06.1999;Donald Duck, King of Comics;;
LTB 262;20.07.1999;Daemonische Doppelgaenger;;
LTB 263;17.08.1999;Eine irrwitzige Irrfahrt;;
LTB 264;14.09.1999;30 Jahre fantastische Abenteuer mit Phantomias;;
LTB 265;12.10.1999;Rennfahrer wider Willen;;
LTB 266;09.11.1999;Ferien am Suedpol;;
LTB 267;07.12.1999;Ab ins Jahr 2000;;
LTB 268;04.01.2000;Jetzt schlaegts 2000;;
LTB 269;01.02.2000;Die Lichtdiebe von Kristalon;;
LTB 270;29.02.2000;Der niesende Geldsack;;
LTB 271;28.03.2000;Donald Donnerson auf grosser Fahrt;;
LTB 272;25.04.2000;Die Wunderblume;;
LTB 273;23.05.2000;Kleine Sensationen;;
LTB 274;20.06.2000;Im Fussballfieber;;
LTB 275;18.07.2000;Das Nest im Weltraum;;
LTB 276;15.08.2000;Ein tolles Hobby;;
LTB 277;12.09.2000;Dabei sein ist alles;;
LTB 278;10.10.2000;Koenig der Tiefe;;
LTB 279;07.11.2000;Eine laestige Allergie;;
LTB 280;05.12.2000;Der Herr des Dschungels;;
LTB 281;02.01.2001;Gefangen im Darkmoor;;
LTB 282;30.01.2001;Am Anfang war das Eis;;
LTB 283;28.02.2001;Die geheimnisvolle Maske;;
LTB 284;27.03.2001;Ein verruecktes Pferderennen;;
LTB 285;24.04.2001;Die Suche nach dem Superkraut;;
LTB 286;22.05.2001;Unter Woelfen;;
LTB 287;19.06.2001;Kaept’n Wirrbarts Muenze;;
LTB 288;17.07.2001;Superhelden im Doppelpack;;
LTB 289;14.08.2001;Vertauschte Rollen;;
LTB 290;11.09.2001;Die Monster vom Schlork;;
LTB 291;09.10.2001;In den Faengen der Mumie;;
LTB 292;06.11.2001;Sprung in die Zukunft;;
LTB 293;04.12.2001;100 Jahre Walt Disney;;
LTB 294;02.01.2002;Der Plattfuss aus den Waeldern;;
LTB 295;29.01.2002;Gefaehrliche Traeume;;
LTB 296;26.02.2002;Die OMA schlaegt zurueck;;
LTB 297;26.03.2002;In den Klauen der Krokonen;;
LTB 298;23.04.2002;Der Ball ist rund!;;
LTB 299;21.05.2002;70 Jahre Superstar;;
LTB 300;25.06.2002;Lustiges Taschenbuch 300;;
LTB 301;23.07.2002;Es kann nur...einen geben;;
LTB 302;20.08.2002;Der listige Lampengeist;;
LTB 303;17.09.2002;Riskanter Einsatz;;
LTB 304;15.10.2002;Im Strudel der Zeit;;
LTB 305;12.11.2002;Superheld im Anflug!;;
LTB 306;10.12.2002;Onkel Dagobert blickt durch!;;
LTB 307;07.01.2003;Glueckwunsch, Glueckspilz!;;
LTB 308;04.02.2003;Gefahr aus der Tiefe;;
LTB 309;04.03.2003;Halt den Schnabel!;;
LTB 310;01.04.2003;Der schwarze Schatten;;
LTB 311;29.04.2003;Die rote Sonne;;
LTB 312;27.05.2003;Die Unterwasser-Pillen;;
LTB 313;24.06.2003;313;2019;
LTB 314;22.07.2003;Ferien mit Donald Duck;;
LTB 315;19.08.2003;Die Wunderbrille;;
